BORO,VIOLATION CODE,VIOLATION DESCRIPTION,Latitude,Longitude
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.598569386104,-74.079952109305
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.73944810039,-74.005975845698
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.693321546707,-73.853033473921
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.594247035206,-74.086550647105
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.764689859162,-73.823024445946
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.608078102502,-74.162260908042
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.713001387904,-73.806655789493
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.827803208009,-73.880887426569
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.663726450674,-73.888797841608
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.739965655283,-73.982328535776
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.575860673145,-73.968639149456
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.838435079829,-73.83540784678
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.639029780103,-73.919347055217
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.761304641341,-73.994235163464
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.708017918167,-74.001789019644
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.753164294878,-73.872441973925
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.754037366988,-73.822984277631
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.739689464189,-73.789855676335
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.756523330784,-73.964229545987
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.727145466358,-73.82207823376
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.58295270743,-74.096259866989
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.692565603329,-73.939937538115
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.80004901021,-73.962259252328
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.831211386838,-73.910205674727
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.604256852887,-74.006806394985
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.620195775133,-74.00754646331
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.759777908235,-73.829235428489
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.849268522198,-73.853630996614
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.82545560831,-73.882734422029
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.714871607948,-73.998261297422
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.834865243362,-73.854508435853
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.740772794946,-73.983533618177
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.728353274395,-73.987851866135
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.865742587404,-73.867337062165
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.602793320701,-73.75021045988
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.582297419955,-74.169052592685
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.664630370121,-73.923371089795
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.710757763438,-73.951095704757
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.61109689623,-73.920479432472
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.743359104168,-73.98996388512
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.644135097173,-74.076623298863
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.765050114478,-73.982953603616
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.710644434232,-73.963742061869
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.741773039676,-73.997347584272
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.857169833265,-73.932399225153
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.693807641119,-73.962604506057
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.64458792841,-73.901726626392
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.761252439648,-73.769861286697
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.738369429924,-74.005546331865
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.691439418154,-73.909431834376
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.688187015568,-73.819142877384
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.687458762634,-73.986229533523
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.829246274535,-73.89725034897
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.787058094262,-73.97176408253
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.63174000513,-74.07610102381
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.746544105126,-73.894213308497
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.729271025275,-73.957486354173
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.737680591656,-73.882258009728
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.748601985022,-74.003493609025
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.667585839614,-73.981006837645
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.695304089086,-73.99621348581
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.67774581604,-73.998110848538
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.834865243362,-73.854508435853
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.544251889206,-74.233036898641
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.740040581716,-73.92389027621
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.643402167111,-73.915468105833
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.854167428628,-73.884563329754
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.769923709246,-73.957554169452
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.635978303604,-73.899440647929
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.749281284066,-73.868316971044
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.744904385514,-73.98973989969
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.713433337653,-73.997622862698
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.692566081401,-73.940857082006
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.668399065304,-73.942298863042
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.723053994047,-73.944343833148
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.637000551374,-73.952101169636
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.703131194602,-73.908225700854
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.576546043057,-74.16975073491
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.732263759386,-73.981767705106
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.707078133808,-73.751127468185
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.617811431657,-74.033376144756
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.759535331184,-73.832253763433
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.749569232284,-73.886030139357
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.59637479174,-73.978704629449
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.78523396425,-73.976809556989
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.793370010398,-73.940413253622
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.699189597107,-73.919017940163
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.70985629469,-74.012050968004
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.582297419955,-74.169052592685
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.761349834186,-73.940669427007
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.600046522971,-74.002607152394
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.633773916278,-73.948605110857
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.808646755288,-73.944857188167
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.779516572959,-73.95055755547
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.688265728309,-73.986247395337
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.733840182011,-73.871577033806
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.747253147283,-73.983315468644
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.887775294174,-73.907351361698
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.768854791842,-73.954406756795
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.729331049626,-74.001031903015
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.691698612542,-73.819793216447
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.612630811948,-74.011572328564
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.824737887639,-73.947951193927
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.80712400336,-73.918210614421
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.718933692611,-74.006522337337
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.764548820885,-73.916382305371
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.683085679192,-73.940952055626
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.68064212633,-73.97760320485
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.612945692503,-73.982387502381
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.846076299266,-73.938493594623
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.713008303593,-73.957558088692
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.671311032158,-73.984531366676
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.820992778748,-73.89122935824
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.682863900884,-73.850875262372
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.840325040838,-73.936587075449
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.745538680041,-73.993153852872
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.819832098774,-73.945928164582
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.633617134143,-74.014206067938
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.626446500017,-74.129757382807
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.678940580624,-73.978732242356
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.780294432412,-73.946863101423
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.674704716569,-73.950055137853
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.736726495356,-73.98025092832
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.719746293725,-73.99714283496
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.720770126763,-73.999563481943
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.686007337777,-73.973725268987
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.678961899836,-73.865031303572
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.743705640895,-73.950400183294
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.625373971769,-73.946623072886
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.832750326469,-73.851221009095
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.745953488244,-73.899779264281
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.743412613763,-73.888711239335
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.808811380956,-73.944734230384
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.863433921676,-73.896373022072
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.641919461268,-73.981342072585
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.858992569263,-73.899033464331
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.702398925189,-73.916157606612
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.732170448256,-73.981836286667
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.805490185201,-73.965720252196
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.697226654275,-73.935663452643
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.728992686719,-73.986783771014
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.775162604004,-73.955330331657
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.683656215948,-73.935175421225
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.711171968818,-73.79174946699
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.718384902908,-73.997774198634
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.890826405359,-73.849318266857
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.645417829444,-73.999246869053
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.772505803269,-73.955646225535
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.743428984264,-73.888610164872
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.765512884509,-73.965769788003
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.765110523342,-73.931478615933
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.63825413729,-74.079030603954
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.575721132043,-73.961137392526
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.786252632158,-73.835916514788
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.732854993516,-73.991177843296
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.760347720672,-73.967386006202
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.675257259627,-73.872944857665
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.863276162928,-73.926781972846
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.821393270058,-73.939260787909
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.612854514868,-73.925998789193
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.784119756127,-73.977622428985
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.70409168512,-73.918910975089
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.87313521192,-73.889068213584
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.612987738798,-73.989515334813
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.705125749847,-73.809412633195
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.729248194919,-73.780969608427
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.70534644851,-74.013730894799
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.714339364956,-73.944365566973
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.683119285589,-73.782329567189
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.751254455846,-73.979867634054
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.751672961796,-73.855455998967
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.621025835369,-73.94577644988
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.889710782591,-73.898158382751
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.756474672107,-73.978133476518
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.698191417797,-73.992671874909
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.743459318157,-73.979783386973
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.758671536159,-73.829079451028
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.736679258522,-73.802675246054
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.807685492079,-73.964115248614
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.635108801068,-74.023329027293
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.581163905657,-74.098543291202
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.585370885161,-73.951519100549
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.70719641702,-73.954409416175
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.724818036835,-73.988054550256
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.68480703551,-73.830974977951
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.623956378042,-74.000050432679
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.747259601949,-73.887510199163
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.726333543709,-73.789934034027
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.71994884089,-73.962622249755
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.67026777117,-73.857075037285
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.629475941557,-74.11233734162
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.745612990641,-73.999285430339
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.851412230587,-73.885077803028
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.664924185833,-73.986515358908
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.631835628096,-73.947565411169
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.70778469146,-73.802483378438
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.728845559886,-73.957414466125
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.666483438604,-73.988526431495
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.705125749847,-73.809412633195
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.591053347963,-73.960627958371
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.578835975614,-73.959713615942
