title,indicator_name,neighborhood,% reported good or excellent
Climate and Health,Homes near structures rated good or excellent,Coney Island - Sheepshead Bay,86.5
Climate and Health,Homes near structures rated good or excellent,Williamsburg - Bushwick,64.8
Climate and Health,Homes near structures rated good or excellent,Washington Heights,59.8
Climate and Health,Homes near structures rated good or excellent,Central Harlem - Morningside Heights,58.2
Climate and Health,Homes near structures rated good or excellent,East Harlem,54.2
Climate and Health,Homes near structures rated good or excellent,Upper West Side,90.7
Climate and Health,Homes near structures rated good or excellent,Upper East Side,94.3
Climate and Health,Homes near structures rated good or excellent,Chelsea - Clinton,88.2
Climate and Health,Homes near structures rated good or excellent,Gramercy Park - Murray Hill,93.6
Climate and Health,Homes near structures rated good or excellent,Greenwich Village - SoHo,88.9
Climate and Health,Homes near structures rated good or excellent,Union Square - Lower East Side,75.9
Climate and Health,Homes near structures rated good or excellent,Lower Manhattan,87.4
Climate and Health,Homes near structures rated good or excellent,Long Island City - Astoria,84.5
Climate and Health,Homes near structures rated good or excellent,West Queens,77.3
Climate and Health,Homes near structures rated good or excellent,Flushing - Clearview,88
Climate and Health,Homes near structures rated good or excellent,Bayside - Little Neck,90.9
Climate and Health,Homes near structures rated good or excellent,Ridgewood - Forest Hills,88.7
Climate and Health,Homes near structures rated good or excellent,Fresh Meadows,88.6
Climate and Health,Homes near structures rated good or excellent,Southwest Queens,85.4
Climate and Health,Homes near structures rated good or excellent,Jamaica,72.3
Climate and Health,Homes near structures rated good or excellent,Southeast Queens,92.7
Climate and Health,Homes near structures rated good or excellent,Rockaways,75.3
Climate and Health,Homes near structures rated good or excellent,Port Richmond,79.1
Climate and Health,Homes near structures rated good or excellent,Stapleton - St. George,85.4
Climate and Health,Homes near structures rated good or excellent,Willowbrook,91.6
Climate and Health,Homes near structures rated good or excellent,South Beach - Tottenville,97.3
Climate and Health,Homes near structures rated good or excellent,Kingsbridge - Riverdale,78.8
Climate and Health,Homes near structures rated good or excellent,Northeast Bronx,71.1
Climate and Health,Homes near structures rated good or excellent,Fordham - Bronx Pk,54.1
Climate and Health,Homes near structures rated good or excellent,Pelham - Throgs Neck,79.6
Climate and Health,Homes near structures rated good or excellent,Crotona -Tremont,47.9
Climate and Health,Homes near structures rated good or excellent,High Bridge - Morrisania,54.1
Climate and Health,Homes near structures rated good or excellent,Hunts Point - Mott Haven,44.4
Climate and Health,Homes near structures rated good or excellent,Greenpoint,76.7
Climate and Health,Homes near structures rated good or excellent,Downtown - Heights - Slope,86.9
Climate and Health,Homes near structures rated good or excellent,Bedford Stuyvesant - Crown Heights,56.9
Climate and Health,Homes near structures rated good or excellent,East New York,66.6
Climate and Health,Homes near structures rated good or excellent,Sunset Park,81.5
Climate and Health,Homes near structures rated good or excellent,Borough Park,80.9
Climate and Health,Homes near structures rated good or excellent,East Flatbush - Flatbush,70.3
Climate and Health,Homes near structures rated good or excellent,Canarsie - Flatlands,87.1
Climate and Health,Homes near structures rated good or excellent,Bensonhurst - Bay Ridge,88.1
Climate and Health,Homes near structures rated good or excellent,Coney Island - Sheepshead Bay,88.2
Climate and Health,Homes near structures rated good or excellent,Williamsburg - Bushwick,61.6
Climate and Health,Homes near structures rated good or excellent,Washington Heights,62.6
Climate and Health,Homes near structures rated good or excellent,Central Harlem - Morningside Heights,63.6
Climate and Health,Homes near structures rated good or excellent,East Harlem,57.4
Climate and Health,Homes near structures rated good or excellent,Upper West Side,92.1
Climate and Health,Homes near structures rated good or excellent,Upper East Side,95
Climate and Health,Homes near structures rated good or excellent,Chelsea - Clinton,86.6
Climate and Health,Homes near structures rated good or excellent,Gramercy Park - Murray Hill,93.4
Climate and Health,Homes near structures rated good or excellent,Greenwich Village - SoHo,90.1
Climate and Health,Homes near structures rated good or excellent,Union Square - Lower East Side,70.8
Climate and Health,Homes near structures rated good or excellent,Lower Manhattan,88
Climate and Health,Homes near structures rated good or excellent,Long Island City - Astoria,82.5
Climate and Health,Homes near structures rated good or excellent,West Queens,72.6
Climate and Health,Homes near structures rated good or excellent,Flushing - Clearview,85.2
Climate and Health,Homes near structures rated good or excellent,Bayside - Little Neck,95.3
Climate and Health,Homes near structures rated good or excellent,Ridgewood - Forest Hills,87.7
Climate and Health,Homes near structures rated good or excellent,Fresh Meadows,87.3
Climate and Health,Homes near structures rated good or excellent,Southwest Queens,82.2
Climate and Health,Homes near structures rated good or excellent,Jamaica,80.3
Climate and Health,Homes near structures rated good or excellent,Southeast Queens,89.8
Climate and Health,Homes near structures rated good or excellent,Rockaways,72.7
Climate and Health,Homes near structures rated good or excellent,Port Richmond,80.7
Climate and Health,Homes near structures rated good or excellent,Stapleton - St. George,85.4
Climate and Health,Homes near structures rated good or excellent,Willowbrook,90
Climate and Health,Homes near structures rated good or excellent,South Beach - Tottenville,96.6
Climate and Health,Homes near structures rated good or excellent,Kingsbridge - Riverdale,79.2
Climate and Health,Homes near structures rated good or excellent,Northeast Bronx,73.1
Climate and Health,Homes near structures rated good or excellent,Fordham - Bronx Pk,62.6
Climate and Health,Homes near structures rated good or excellent,Pelham - Throgs Neck,75.6
Climate and Health,Homes near structures rated good or excellent,Crotona -Tremont,49.6
Climate and Health,Homes near structures rated good or excellent,High Bridge - Morrisania,49
Climate and Health,Homes near structures rated good or excellent,Hunts Point - Mott Haven,45.8
Climate and Health,Homes near structures rated good or excellent,Greenpoint,86
Climate and Health,Homes near structures rated good or excellent,Downtown - Heights - Slope,87.2
Climate and Health,Homes near structures rated good or excellent,Bedford Stuyvesant - Crown Heights,71.4
Climate and Health,Homes near structures rated good or excellent,East New York,66.3
Climate and Health,Homes near structures rated good or excellent,Sunset Park,86.2
Climate and Health,Homes near structures rated good or excellent,Borough Park,87.3
Climate and Health,Homes near structures rated good or excellent,East Flatbush - Flatbush,75.7
Climate and Health,Homes near structures rated good or excellent,Canarsie - Flatlands,77.7
Climate and Health,Homes near structures rated good or excellent,Bensonhurst - Bay Ridge,90
Climate and Health,Homes near structures rated good or excellent,Coney Island - Sheepshead Bay,85.1
Climate and Health,Homes near structures rated good or excellent,Williamsburg - Bushwick,73.1
Climate and Health,Homes near structures rated good or excellent,Washington Heights,77.2
Climate and Health,Homes near structures rated good or excellent,Central Harlem - Morningside Heights,71.6
Climate and Health,Homes near structures rated good or excellent,East Harlem,60.5
Climate and Health,Homes near structures rated good or excellent,Upper West Side,90.3
Climate and Health,Homes near structures rated good or excellent,Upper East Side,95.2
Climate and Health,Homes near structures rated good or excellent,Chelsea - Clinton,92.3
Climate and Health,Homes near structures rated good or excellent,Gramercy Park - Murray Hill,95.2
Climate and Health,Homes near structures rated good or excellent,Greenwich Village - SoHo,93.8
Climate and Health,Homes near structures rated good or excellent,Union Square - Lower East Side,80.2
Climate and Health,Homes near structures rated good or excellent,Lower Manhattan,92.8
Climate and Health,Homes near structures rated good or excellent,Long Island City - Astoria,85.2
Climate and Health,Homes near structures rated good or excellent,West Queens,85.2
Climate and Health,Homes near structures rated good or excellent,Flushing - Clearview,86.6
Climate and Health,Homes near structures rated good or excellent,Bayside - Little Neck,98
Climate and Health,Homes near structures rated good or excellent,Ridgewood - Forest Hills,94
Climate and Health,Homes near structures rated good or excellent,Fresh Meadows,87.9
Climate and Health,Homes near structures rated good or excellent,Southwest Queens,87.5
Climate and Health,Homes near structures rated good or excellent,Jamaica,77.7
Climate and Health,Homes near structures rated good or excellent,Southeast Queens,87.3
Climate and Health,Homes near structures rated good or excellent,Rockaways,73.8
Climate and Health,Homes near structures rated good or excellent,Port Richmond,82.2
Climate and Health,Homes near structures rated good or excellent,Stapleton - St. George,85.2
Climate and Health,Homes near structures rated good or excellent,Willowbrook,88.3
Climate and Health,Homes near structures rated good or excellent,South Beach - Tottenville,95.9
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,23.67
Climate and Health,Ozone (O3),Northeast Bronx,26.82
Climate and Health,Ozone (O3),Fordham - Bronx Pk,24.47
Climate and Health,Ozone (O3),Pelham - Throgs Neck,26.72
Climate and Health,Ozone (O3),Crotona -Tremont,23.08
Climate and Health,Ozone (O3),High Bridge - Morrisania,22.64
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,25.23
Climate and Health,Ozone (O3),Greenpoint,25.56
Climate and Health,Ozone (O3),Downtown - Heights - Slope,23.08
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,24.33
Climate and Health,Ozone (O3),East New York,26.28
Climate and Health,Ozone (O3),Sunset Park,24.63
Climate and Health,Ozone (O3),Borough Park,25.54
Climate and Health,Ozone (O3),East Flatbush - Flatbush,25.47
Climate and Health,Ozone (O3),Canarsie - Flatlands,28.97
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,26.86
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,29.64
Climate and Health,Ozone (O3),Williamsburg - Bushwick,24.76
Climate and Health,Ozone (O3),Washington Heights,21.82
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,21.52
Climate and Health,Ozone (O3),East Harlem,22.84
Climate and Health,Ozone (O3),Upper West Side,21.31
Climate and Health,Ozone (O3),Upper East Side,20.87
Climate and Health,Ozone (O3),Chelsea - Clinton,18.19
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,16.13
Climate and Health,Ozone (O3),Greenwich Village - SoHo,20.56
Climate and Health,Ozone (O3),Union Square - Lower East Side,21.16
Climate and Health,Ozone (O3),Lower Manhattan,18.88
Climate and Health,Ozone (O3),Long Island City - Astoria,26.08
Climate and Health,Ozone (O3),West Queens,25.7
Climate and Health,Ozone (O3),Flushing - Clearview,26.29
Climate and Health,Ozone (O3),Bayside - Little Neck,26.29
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,25.58
Climate and Health,Ozone (O3),Fresh Meadows,25.43
Climate and Health,Ozone (O3),Southwest Queens,26.48
Climate and Health,Ozone (O3),Jamaica,26.14
Climate and Health,Ozone (O3),Southeast Queens,27.59
Climate and Health,Ozone (O3),Rockaways,33.59
Climate and Health,Ozone (O3),Port Richmond,24.42
Climate and Health,Ozone (O3),Stapleton - St. George,26.48
Climate and Health,Ozone (O3),Willowbrook,26.04
Climate and Health,Ozone (O3),South Beach - Tottenville,27.77
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,31.91
Climate and Health,Ozone (O3),Northeast Bronx,33.96
Climate and Health,Ozone (O3),Fordham - Bronx Pk,32.53
Climate and Health,Ozone (O3),Pelham - Throgs Neck,34.31
Climate and Health,Ozone (O3),Crotona -Tremont,31.63
Climate and Health,Ozone (O3),High Bridge - Morrisania,31.25
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,33.34
Climate and Health,Ozone (O3),Greenpoint,32.54
Climate and Health,Ozone (O3),Downtown - Heights - Slope,30.94
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,32.27
Climate and Health,Ozone (O3),East New York,33.97
Climate and Health,Ozone (O3),Sunset Park,32.71
Climate and Health,Ozone (O3),Borough Park,33.38
Climate and Health,Ozone (O3),East Flatbush - Flatbush,33.33
Climate and Health,Ozone (O3),Canarsie - Flatlands,36.12
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,34.5
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,36.52
Climate and Health,Ozone (O3),Williamsburg - Bushwick,32.38
Climate and Health,Ozone (O3),Washington Heights,30.54
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,29.75
Climate and Health,Ozone (O3),East Harlem,30.52
Climate and Health,Ozone (O3),Upper West Side,28.68
Climate and Health,Ozone (O3),Upper East Side,28.21
Climate and Health,Ozone (O3),Chelsea - Clinton,25.62
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,23.9
Climate and Health,Ozone (O3),Greenwich Village - SoHo,27.87
Climate and Health,Ozone (O3),Union Square - Lower East Side,28.38
Climate and Health,Ozone (O3),Lower Manhattan,26.89
Climate and Health,Ozone (O3),Long Island City - Astoria,33.01
Climate and Health,Ozone (O3),West Queens,33.17
Climate and Health,Ozone (O3),Flushing - Clearview,33.99
Climate and Health,Ozone (O3),Bayside - Little Neck,33.51
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,33.32
Climate and Health,Ozone (O3),Fresh Meadows,33.23
Climate and Health,Ozone (O3),Southwest Queens,34.04
Climate and Health,Ozone (O3),Jamaica,33.52
Climate and Health,Ozone (O3),Southeast Queens,34.29
Climate and Health,Ozone (O3),Rockaways,38.98
Climate and Health,Ozone (O3),Port Richmond,32.74
Climate and Health,Ozone (O3),Stapleton - St. George,34.3
Climate and Health,Ozone (O3),Willowbrook,34.45
Climate and Health,Ozone (O3),South Beach - Tottenville,36.53
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,31.24
Climate and Health,Ozone (O3),Northeast Bronx,33.44
Climate and Health,Ozone (O3),Fordham - Bronx Pk,32.08
Climate and Health,Ozone (O3),Pelham - Throgs Neck,34.24
Climate and Health,Ozone (O3),Crotona -Tremont,31.46
Climate and Health,Ozone (O3),High Bridge - Morrisania,31.12
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,33.42
Climate and Health,Ozone (O3),Greenpoint,31.61
Climate and Health,Ozone (O3),Downtown - Heights - Slope,29.54
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,31.43
Climate and Health,Ozone (O3),East New York,33.5
Climate and Health,Ozone (O3),Sunset Park,31.5
Climate and Health,Ozone (O3),Borough Park,32.7
Climate and Health,Ozone (O3),East Flatbush - Flatbush,32.67
Climate and Health,Ozone (O3),Canarsie - Flatlands,35.91
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,33.85
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,36.56
Climate and Health,Ozone (O3),Williamsburg - Bushwick,31.54
Climate and Health,Ozone (O3),Washington Heights,30.13
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,29.4
Climate and Health,Ozone (O3),East Harlem,30.25
Climate and Health,Ozone (O3),Upper West Side,27.89
Climate and Health,Ozone (O3),Upper East Side,27.52
Climate and Health,Ozone (O3),Chelsea - Clinton,24.2
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,22.59
Climate and Health,Ozone (O3),Greenwich Village - SoHo,26.21
Climate and Health,Ozone (O3),Union Square - Lower East Side,26.94
Climate and Health,Ozone (O3),Lower Manhattan,25.07
Climate and Health,Ozone (O3),Long Island City - Astoria,32.66
Climate and Health,Ozone (O3),West Queens,33
Climate and Health,Ozone (O3),Flushing - Clearview,33.92
Climate and Health,Ozone (O3),Bayside - Little Neck,33.03
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,32.97
Climate and Health,Ozone (O3),Fresh Meadows,32.93
Climate and Health,Ozone (O3),Southwest Queens,33.63
Climate and Health,Ozone (O3),Jamaica,32.95
Climate and Health,Ozone (O3),Southeast Queens,33.59
Climate and Health,Ozone (O3),Rockaways,39.03
Climate and Health,Ozone (O3),Port Richmond,31.02
Climate and Health,Ozone (O3),Stapleton - St. George,33.17
Climate and Health,Ozone (O3),Willowbrook,33.13
Climate and Health,Ozone (O3),South Beach - Tottenville,35.93
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,33.72
Climate and Health,Ozone (O3),Northeast Bronx,35.09
Climate and Health,Ozone (O3),Fordham - Bronx Pk,34.08
Climate and Health,Ozone (O3),Pelham - Throgs Neck,35.44
Climate and Health,Ozone (O3),Crotona -Tremont,33.42
Climate and Health,Ozone (O3),High Bridge - Morrisania,33.23
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,34.98
Climate and Health,Ozone (O3),Greenpoint,32.73
Climate and Health,Ozone (O3),Downtown - Heights - Slope,30.66
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,32.12
Climate and Health,Ozone (O3),East New York,33.97
Climate and Health,Ozone (O3),Sunset Park,32.29
Climate and Health,Ozone (O3),Borough Park,33.35
Climate and Health,Ozone (O3),East Flatbush - Flatbush,33.38
Climate and Health,Ozone (O3),Canarsie - Flatlands,36.6
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,34.28
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,37.08
Climate and Health,Ozone (O3),Williamsburg - Bushwick,32.28
Climate and Health,Ozone (O3),Washington Heights,32.66
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,31.71
Climate and Health,Ozone (O3),East Harlem,32.25
Climate and Health,Ozone (O3),Upper West Side,30.17
Climate and Health,Ozone (O3),Upper East Side,29.24
Climate and Health,Ozone (O3),Chelsea - Clinton,26
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,24.05
Climate and Health,Ozone (O3),Greenwich Village - SoHo,27.85
Climate and Health,Ozone (O3),Union Square - Lower East Side,28.41
Climate and Health,Ozone (O3),Lower Manhattan,26.44
Climate and Health,Ozone (O3),Long Island City - Astoria,33.91
Climate and Health,Ozone (O3),West Queens,33.58
Climate and Health,Ozone (O3),Flushing - Clearview,34.46
Climate and Health,Ozone (O3),Bayside - Little Neck,33.84
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,33.3
Climate and Health,Ozone (O3),Fresh Meadows,33.38
Climate and Health,Ozone (O3),Southwest Queens,34.15
Climate and Health,Ozone (O3),Jamaica,33.78
Climate and Health,Ozone (O3),Southeast Queens,34.81
Climate and Health,Ozone (O3),Rockaways,40.3
Climate and Health,Ozone (O3),Port Richmond,31.06
Climate and Health,Ozone (O3),Stapleton - St. George,33.14
Climate and Health,Ozone (O3),Willowbrook,32.76
Climate and Health,Ozone (O3),South Beach - Tottenville,35.27
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,30.37
Climate and Health,Ozone (O3),Northeast Bronx,31.68
Climate and Health,Ozone (O3),Fordham - Bronx Pk,30.79
Climate and Health,Ozone (O3),Pelham - Throgs Neck,32.06
Climate and Health,Ozone (O3),Crotona -Tremont,30.15
Climate and Health,Ozone (O3),High Bridge - Morrisania,29.92
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,31.59
Climate and Health,Ozone (O3),Greenpoint,29.77
Climate and Health,Ozone (O3),Downtown - Heights - Slope,28.04
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,29.66
Climate and Health,Ozone (O3),East New York,31.51
Climate and Health,Ozone (O3),Sunset Park,29.67
Climate and Health,Ozone (O3),Borough Park,30.61
Climate and Health,Ozone (O3),East Flatbush - Flatbush,30.73
Climate and Health,Ozone (O3),Canarsie - Flatlands,33.7
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,31.44
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,33.88
Climate and Health,Ozone (O3),Williamsburg - Bushwick,29.7
Climate and Health,Ozone (O3),Washington Heights,29.34
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,28.4
Climate and Health,Ozone (O3),East Harlem,28.87
Climate and Health,Ozone (O3),Upper West Side,26.93
Climate and Health,Ozone (O3),Upper East Side,26.32
Climate and Health,Ozone (O3),Chelsea - Clinton,23.53
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,21.93
Climate and Health,Ozone (O3),Greenwich Village - SoHo,25.22
Climate and Health,Ozone (O3),Union Square - Lower East Side,25.73
Climate and Health,Ozone (O3),Lower Manhattan,24.26
Climate and Health,Ozone (O3),Long Island City - Astoria,30.62
Climate and Health,Ozone (O3),West Queens,30.68
Climate and Health,Ozone (O3),Flushing - Clearview,31.43
Climate and Health,Ozone (O3),Bayside - Little Neck,30.76
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,30.77
Climate and Health,Ozone (O3),Fresh Meadows,30.67
Climate and Health,Ozone (O3),Southwest Queens,31.68
Climate and Health,Ozone (O3),Jamaica,31.12
Climate and Health,Ozone (O3),Southeast Queens,31.79
Climate and Health,Ozone (O3),Rockaways,36.84
Climate and Health,Ozone (O3),Port Richmond,28.84
Climate and Health,Ozone (O3),Stapleton - St. George,30.61
Climate and Health,Ozone (O3),Willowbrook,30.48
Climate and Health,Ozone (O3),South Beach - Tottenville,32.66
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,30.45
Climate and Health,Ozone (O3),Northeast Bronx,31.49
Climate and Health,Ozone (O3),Fordham - Bronx Pk,30.7
Climate and Health,Ozone (O3),Pelham - Throgs Neck,31.93
Climate and Health,Ozone (O3),Crotona -Tremont,30.07
Climate and Health,Ozone (O3),High Bridge - Morrisania,29.91
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,31.41
Climate and Health,Ozone (O3),Greenpoint,30.47
Climate and Health,Ozone (O3),Downtown - Heights - Slope,29.32
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,30.33
Climate and Health,Ozone (O3),East New York,31.97
Climate and Health,Ozone (O3),Sunset Park,30.6
Climate and Health,Ozone (O3),Borough Park,30.68
Climate and Health,Ozone (O3),East Flatbush - Flatbush,30.94
Climate and Health,Ozone (O3),Canarsie - Flatlands,33.25
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,31.32
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,32.61
Climate and Health,Ozone (O3),Williamsburg - Bushwick,30.41
Climate and Health,Ozone (O3),Washington Heights,29.52
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,28.58
Climate and Health,Ozone (O3),East Harlem,28.92
Climate and Health,Ozone (O3),Upper West Side,27.4
Climate and Health,Ozone (O3),Upper East Side,26.66
Climate and Health,Ozone (O3),Chelsea - Clinton,24.61
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,22.89
Climate and Health,Ozone (O3),Greenwich Village - SoHo,26.66
Climate and Health,Ozone (O3),Union Square - Lower East Side,26.93
Climate and Health,Ozone (O3),Lower Manhattan,25.98
Climate and Health,Ozone (O3),Long Island City - Astoria,30.71
Climate and Health,Ozone (O3),West Queens,30.87
Climate and Health,Ozone (O3),Flushing - Clearview,32.01
Climate and Health,Ozone (O3),Bayside - Little Neck,32.26
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,31.33
Climate and Health,Ozone (O3),Fresh Meadows,31.8
Climate and Health,Ozone (O3),Southwest Queens,32.51
Climate and Health,Ozone (O3),Jamaica,32.63
Climate and Health,Ozone (O3),Southeast Queens,33.6
Climate and Health,Ozone (O3),Rockaways,36.25
Climate and Health,Ozone (O3),Port Richmond,30.23
Climate and Health,Ozone (O3),Stapleton - St. George,31.14
Climate and Health,Ozone (O3),Willowbrook,31.13
Climate and Health,Ozone (O3),South Beach - Tottenville,31.96
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,28.72
Climate and Health,Ozone (O3),Northeast Bronx,29.93
Climate and Health,Ozone (O3),Fordham - Bronx Pk,29.53
Climate and Health,Ozone (O3),Pelham - Throgs Neck,31.41
Climate and Health,Ozone (O3),Crotona -Tremont,29.65
Climate and Health,Ozone (O3),High Bridge - Morrisania,29.93
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,31.66
Climate and Health,Ozone (O3),Greenpoint,30.97
Climate and Health,Ozone (O3),Downtown - Heights - Slope,29.76
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,31.18
Climate and Health,Ozone (O3),East New York,32.58
Climate and Health,Ozone (O3),Sunset Park,31.29
Climate and Health,Ozone (O3),Borough Park,32.14
Climate and Health,Ozone (O3),East Flatbush - Flatbush,32.2
Climate and Health,Ozone (O3),Canarsie - Flatlands,34.7
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,32.83
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,35.01
Climate and Health,Ozone (O3),Williamsburg - Bushwick,31.1
Climate and Health,Ozone (O3),Washington Heights,28.95
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,28.98
Climate and Health,Ozone (O3),East Harlem,29.58
